"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01"
9,"California",1,268300,267700,267200,266900,266900,267300,267800,268600,269800,271100,272300,273300,274500,275800,277400,279000,280800,282600,284400,286300,288400,290500,292600,294400,296300,298300,300400,302600,304900,307300,309700,312300,315100,318100,321100,324100,327100,330200,333300,336400,339600,342800,346400,350400,354800,359600,364300,368700,373100,377300,381300,385100,388900,392700,396500,400500,404700,408800,412700,416500,419900,423200,426300,429400,432300,435300,438400,441500,444800,448200,451800,455500,459300,463400,467700,472300,477100,482100,487400,492900,498400,503900,509500,515300,521500,528000,535100,542700,550500,558800,567500,576600,586200,596400,607100,618700,631400,644700,658400,671700,684300,696000,706900,717000,726800,736500,745800,755100,764400,772900,780900,788100,794200,799500,804000,807500,810500,813200,815500,817200,818200,818400,817600,815600,812300,808700,805200,801600,798100,795000,791200,786200,780500,774400,767900,760700,752400,743900,735000,725500,715300,705000,693700,681400,668500,656500,645600,636500,629000,622900,617200,611800,607000,602700,597800,591500,584400,577000,571000,568000,567300,567600,568700,570300,571700,572200,572700,573100,574000,574700,573900,571000,568200,565100,561500,557500,553400,549100,545400,542400,539800,537400,535200,533200,531100,528400,526300,525400,524500,523400,524100,527000,531000,535500,540400,545600,550300,555100,560500,566700,573000,579300,586200,594900,605300,616100,626800,636000,643600,649800,654300,657400,660600,664300,668200,672200,675400,677900,680100,682100,683700,685600,688000,690900,693800,697400,701800,706000,709900,713900,718100,721500,724400,728200,731700,734800,738700,742900,745400,747500,749800,752200,754400,757400,761000,764800,768400,772200,776100,780400,784200,787700,790900,794000,797500,801100,804400,808000,812100,816100,820400,827000,833700,837200,838500,841000,843800,845600,847000,847900,848600,849800,850700,851000
54,"Texas",2,261900,261100,260400,259700,259300,259000,258600,258100,257100,255700,254100,252800,252300,252600,253700,255300,257200,259400,261800,264400,267300,270000,272100,273100,273200,272500,271400,270300,269800,270400,272200,275600,280800,286700,292400,297200,300800,302900,303800,303800,303400,302900,302800,303500,305000,307300,310000,312300,313600,313500,312200,310100,307800,305400,303200,301200,299600,298400,297600,297000,296700,296700,296800,296700,296200,295200,293600,291700,289600,287500,285700,284400,283800,284200,285100,286500,287700,288700,289300,289300,288700,287900,287000,286200,285600,285300,285200,285300,285400,285700,285900,286200,286600,287300,288500,290100,292200,294400,296500,298700,300900,303100,305200,307200,309100,310700,312100,313300,314500,315600,316800,317900,319100,320200,321500,322800,324300,326000,327500,329000,330400,331500,332600,333700,335000,336300,337800,339200,340500,341400,342100,342600,342900,343000,343000,343100,343100,343400,343800,344300,344600,344200,343400,342200,340600,338600,336800,335300,334100,333100,331900,330500,328800,326800,324800,323200,321800,320500,319400,318300,317200,316300,315600,314800,314400,314900,314800,313800,313200,313200,312700,312200,311800,311400,310800,309900,308800,308200,308100,308100,307800,307800,308100,308400,308500,308600,308900,309300,309900,310500,311400,312300,313000,313700,314100,314400,314900,315400,315800,316500,317100,317500,318100,319200,320800,322400,324500,327300,330000,332700,335300,338100,340600,343100,345600,348300,351000,353600,356900,360200,362900,365000,367100,369300,371800,373500,374800,376500,379000,381400,383300,385400,387600,389600,391000,392100,393000,393900,395100,396900,398800,400800,402700,403800,404600,405700,406900,407900,408700,409300,410200,411500,413300,414600,415600,416500,417800,419600,421100,421700,421900,422900,424900,426400,427100,428900,431000,431700,431400,431100,431600,433400,435800,437700
43,"New York",3,144700,144300,143900,143500,143100,142900,142700,142600,142700,143000,143200,143300,143400,143500,143600,143700,143900,144100,144400,144700,145200,145600,146000,146200,146400,146700,147100,147600,148200,148800,149600,150400,151200,152100,153000,153800,154700,155700,156900,158200,159400,160600,161600,162600,163700,165000,166400,167800,169200,170600,171900,173000,174000,175100,176200,177500,178900,180400,182000,183500,184900,186300,187800,189200,190700,192300,194000,196000,198100,200200,202400,204800,207300,209900,212700,215700,218700,221700,224800,227900,231000,233900,236600,239100,241700,244100,246400,248500,250300,252000,253400,254600,255900,257500,259500,261800,264500,267200,270200,273300,276500,279600,282700,285500,288200,290900,293200,295400,297500,299500,301400,303400,305300,307400,309500,311600,313600,315500,317100,318500,319700,320700,321600,322300,322900,323600,324500,325300,326200,327200,327900,328500,329000,329300,329300,329100,328700,328000,327100,325800,324300,322800,321300,319600,317900,316100,314200,312200,310000,307600,305400,303200,301200,299600,298000,296400,294700,292700,290700,289500,288900,288700,288700,288900,289000,288400,288700,289000,288500,287700,287300,286600,285400,283900,282700,281800,280600,279300,277400,275300,274100,273700,273400,272800,271900,271200,270300,269300,268500,268100,267400,266900,266700,266500,265900,265400,265300,265800,265900,266000,266500,267100,267400,268300,269400,270500,271700,272800,273800,274300,274800,275400,275700,276100,276800,277600,277900,277900,277700,277900,278000,278400,279100,279600,279700,280200,281000,281200,281500,282000,282800,283500,284800,285900,286900,287300,287600,287500,287500,288000,289200,290200,291100,292300,293200,293800,294400,295200,296500,298000,299300,300800,302200,303800,305800,307900,309400,310700,311900,313300,315100,317400,319800,321500,322500,323700,324800,325700,326600,327400,328500,329800,331200,332400
14,"Florida",4,200100,200600,201400,202300,203300,204300,205000,205500,205700,205700,205400,205100,204900,205000,205400,206000,206900,207800,208800,209800,211000,212100,213100,213900,214600,215400,216100,216800,217600,218600,219600,220800,222100,223400,224800,226000,227200,228600,230100,231700,233200,234600,236100,237600,239300,241000,242700,244200,245600,246900,248100,249500,250900,252500,254400,256500,258900,261400,264000,266300,268600,270600,272600,274400,276200,277900,279700,281500,283400,285400,287300,289000,290700,292400,294200,296200,298500,301000,303700,306700,309600,312500,315300,318300,321200,324000,326800,329600,332300,335100,338100,341200,344600,348100,351700,355700,360000,365000,370600,376800,383300,390100,397100,404000,411100,418500,426200,434700,444000,453600,463100,472400,481100,489200,496700,503700,510800,518000,524700,531300,538000,543800,548400,551800,553900,554900,555100,554500,553700,553200,552000,550400,548900,546800,543400,538900,533400,527400,520900,513900,506600,499400,491300,482600,474300,466300,458100,450100,442400,435100,427900,420800,414100,408200,401700,394500,387600,380500,373600,368700,365500,363300,361900,361000,359800,357000,357100,356900,353500,349500,348100,345400,341900,338400,335500,333000,330500,328000,325500,323800,323200,322800,322300,322700,323400,324200,325100,325900,326300,326700,326700,326800,327700,329200,329800,330300,331000,331400,331500,332100,333600,335500,337700,340000,342400,345100,348000,350800,353600,356200,358400,360700,362800,364800,366900,369300,371400,373600,375700,377800,379500,380900,381800,382400,383200,384200,385100,386600,388900,391500,393600,395500,397300,399100,401000,403100,405000,407000,409200,411500,413900,416200,418300,420400,422500,424900,428000,431300,434200,436300,437400,438700,440600,442300,443200,444000,445100,446200,447000,447400,448300,450900,454400,456900,458900,461200,463200,464800,465400,466200,467800,469600,471300,473100
21,"Illinois",5,260700,261900,262700,263100,263000,262500,261600,260300,259200,258400,257200,255700,254200,252700,251000,248900,246600,244500,243000,242300,242800,244400,246300,248400,251100,254300,258100,262300,266700,271100,275200,278600,281400,283700,285000,285500,286000,286500,287300,288400,289900,291700,293900,296500,299700,303500,307100,310400,313800,317100,320400,323500,326600,329500,332400,335100,337800,340400,342500,344100,345400,346600,347600,348800,350100,351600,353300,355000,357000,359100,361300,363700,366100,368600,371100,373600,376100,378500,380800,383100,385400,387600,389800,392100,394400,396400,398100,399700,401400,403300,405300,407600,410100,412900,415700,418600,421700,425100,428900,433100,437300,441500,445500,449200,452700,455900,459100,462300,465900,469700,473700,477800,481800,485600,489300,492800,496200,499400,502200,504700,507200,509300,510900,512300,513600,515000,516600,518000,519600,521400,522500,523000,523200,522900,522000,521100,520100,519100,518000,516300,513800,511100,507700,504300,501200,498100,494300,490100,485400,480900,477200,473600,469700,466400,462700,458100,452900,447300,441600,437100,433800,431300,429700,428800,427800,425500,426000,426200,423000,419200,417700,414500,411200,407700,403500,400400,398300,397400,396600,394600,391900,389800,387000,384600,383200,382100,380500,378300,377400,375700,372400,370800,372300,374200,376300,378200,379500,380300,381000,381400,381500,381700,382000,383600,386500,389500,393200,398000,401400,403500,405100,405700,405500,405800,406600,407500,409000,411200,413300,414900,416000,416300,415800,415800,415900,415700,415500,416700,418100,418400,418300,418500,418700,419500,420900,422000,422600,423000,423600,424300,425300,426400,426500,425400,424800,425200,426400,428200,429600,429700,429400,429500,430400,431500,432200,433000,434700,436800,439100,440500,440800,442100,444600,445900,445800,445500,444900,444500,444000,443000,442300,442300,443000,444800
47,"Pennsylvania",6,146700,146400,146300,146300,146500,146900,147400,147900,148600,149200,149800,150200,150600,150900,151100,151300,151500,151700,151800,151900,151900,151900,151900,151900,151900,152000,152200,152400,152700,153000,153400,153900,154600,155400,156400,157300,158100,158900,159500,159900,160100,160100,160100,160300,160700,161300,162200,163200,164300,165500,166700,168000,169200,170300,171500,172600,173700,174900,176100,177100,178100,179000,179800,180700,181600,182700,183800,185000,186300,187600,188900,190200,191500,192800,194200,195700,197400,199300,201300,203500,205700,207500,208900,210400,212100,214200,216500,219200,221900,224500,227000,229400,231500,233600,235800,238100,240500,242800,245000,247100,249300,251500,253800,256100,258600,261400,264300,267400,270400,273300,276000,278700,281100,283400,285800,288000,290000,291600,293000,294400,295600,296900,298200,299400,300400,301200,302000,302600,303100,303700,304100,304300,304600,304800,304900,305000,305000,304900,304500,303900,303100,302300,301300,300200,299100,297800,296400,295100,294000,293000,292100,291300,290500,289900,289400,288700,287800,286800,285500,284300,283200,282300,281600,281000,280600,280300,280400,280500,280400,280300,280100,279200,278000,277000,275800,274300,273300,272500,271700,271000,270300,269400,268800,268300,267500,266400,266000,265800,265600,265100,264600,264300,264200,263700,263400,263400,263500,263800,264200,264900,265500,265700,265800,265900,266200,267000,267700,268300,269100,270100,270200,270200,270600,271300,271600,271900,272600,273300,274000,274600,275500,276100,276900,277700,278200,278200,278600,279000,279500,280200,281500,282800,284000,284800,285800,286300,286700,287500,288300,288800,289300,290100,291100,292000,293000,294100,295400,296700,297900,299100,300200,301600,303300,305000,306600,308400,310100,311400,312000,312500,313500,315500,317700,319800,321500,322800,323700,324500,324900,325100,325800,326900,327600,327900
44,"Ohio",7,144100,144300,144500,144800,145100,145500,145900,146300,146700,147100,147700,148300,149100,150100,151100,152200,153300,154300,155200,155900,156400,156800,157100,157300,157500,157700,158100,158600,159300,160000,160800,161400,161900,162300,162500,162800,163100,163400,164000,164600,165300,166000,166800,167700,168600,169500,170500,171500,172300,173100,173700,174400,175000,175600,176300,177200,178100,179100,180200,181300,182400,183200,183800,184300,184700,184900,185100,185400,185700,186200,186700,187400,188200,188900,189500,190100,190600,191200,191800,192600,193600,194600,195500,196300,196900,197400,197900,198500,199300,200400,201500,202600,203600,204400,204900,205400,205900,206700,207600,208600,209500,210300,211100,211800,212400,212900,213200,213400,213500,213800,214300,214900,215500,216100,216700,217200,217400,217700,217900,218300,218800,219300,219700,219800,219800,219500,219300,219100,219000,219100,219100,219000,218800,218400,217700,216900,216200,215400,214500,213500,212600,211800,211000,210200,209500,208700,207800,206900,206000,205100,204300,203600,202900,202500,202000,201500,201000,200400,199500,198600,197900,197300,197000,196900,196800,196300,196500,196600,196500,196500,197000,197000,196700,196400,195900,194900,193900,193200,192300,191400,190600,189700,188800,188300,188400,188600,188600,188800,189200,189500,190200,191300,191900,192300,192900,193600,194000,194200,194600,195200,195900,196500,196600,196700,197300,198400,199400,200600,201700,202500,203200,204000,204700,205300,205700,206400,207200,208000,208700,209200,209400,209800,210200,210700,211300,212000,212800,213500,214300,215000,215700,217000,218400,219500,220500,221200,221800,222700,223700,224400,225300,226600,227900,228800,229600,230400,231300,232000,232700,233500,234800,236600,238200,239600,240700,241700,242600,243600,244800,246200,247100,247900,249300,250600,252000,253700,255100,256200,257400,258800,260600,262500,264400,266000
30,"Michigan",8,155600,156500,157300,158100,159000,160000,161100,162200,163500,165000,166400,167800,169100,170300,171500,172500,173500,174300,175000,175500,176000,176500,177200,177900,178800,179900,180900,182000,183100,184300,185400,186700,188200,189900,191700,193400,195200,197000,199000,200900,202800,204600,206300,208000,209800,211700,213800,216000,218300,220600,222900,225000,226900,228400,229600,230400,230900,231000,230900,230500,229800,228900,228100,227300,226600,226300,226300,226800,227800,229100,230900,232800,234700,236300,237700,239000,240000,241000,241800,242700,243300,243000,242000,240800,239900,239400,239300,239600,240200,241100,242200,243300,244200,245200,246200,247200,248200,249100,250100,251200,252400,253700,255100,256700,258500,260400,262200,263900,265400,266800,267900,268900,269600,270100,270500,270700,270800,271000,271300,271600,271800,272000,271900,271800,271400,270500,269500,268200,266800,265800,264700,263600,262500,261400,260000,258400,256600,254700,252800,250900,248900,247200,245200,243200,241300,239300,237100,234900,232600,230400,228300,226400,224600,223000,221400,219700,218000,216200,214300,212800,211500,210400,209700,209300,208800,207600,207800,208200,206800,205200,205200,205000,204900,204900,204600,204200,203800,203000,202400,202000,201900,202000,201400,200600,200500,201000,201700,202200,202800,203400,203700,203900,205100,207100,208500,209700,211000,212300,213700,215400,217100,218800,220200,221700,223800,225700,227400,229800,232500,234600,236000,237200,238800,240800,242500,244000,245500,247400,249500,251700,253300,254000,254700,255900,257300,258800,260100,261400,262600,263800,265300,266600,267800,269100,270600,272000,273400,274400,275500,276900,278500,280000,281800,283600,284700,285700,286800,287600,288600,289800,291500,293600,295700,297700,299500,300300,300700,301600,303200,304700,305700,307000,309700,311900,313600,315900,318200,320300,322300,323700,324700,325900,327100,328700
16,"Georgia",9,205100,206300,207400,208500,209500,210400,211200,211900,212800,213600,214200,214500,214800,215100,215600,216100,216700,217200,217700,218100,218400,218900,219600,220400,221600,223000,224600,226200,227800,229400,231100,232800,234700,236700,238400,239800,241200,242600,244100,245800,247600,249500,251600,253700,256100,258600,260900,262900,264600,266100,267500,268800,270100,271500,272800,274300,275800,277400,278700,279800,280800,281700,282600,283700,284800,286100,287400,288800,290400,292200,294300,296300,298200,299700,300800,301600,302000,302300,302700,303500,304600,305900,307300,308400,309300,309700,310000,310300,310800,311500,312400,313000,313200,312900,312400,312300,312900,314200,316300,318900,321700,324500,327200,329600,331800,334100,336200,338300,340900,343600,346300,349200,352000,354700,357300,359700,361900,364100,366200,368400,370800,373400,375800,378100,380300,382300,384200,385900,387500,389200,390500,391600,392500,393000,392800,392500,392000,391300,390300,389000,387500,386200,384300,382400,380500,378100,374900,371200,367200,363200,359500,355800,352500,349700,346700,343500,340100,336300,332200,329200,327100,325500,323900,322500,321100,319100,319100,318500,315700,313300,313000,311500,309400,306900,304500,302500,300500,298600,296000,293600,292000,290500,288600,287100,285600,283800,282300,281300,280800,280600,279900,279500,279900,280900,282100,283500,285100,287400,289600,291600,293100,294400,296000,298200,300200,302100,304100,306100,307900,309900,311800,313500,315400,317100,318900,321200,323800,326300,328800,330900,332400,333300,334300,335500,336700,337400,338100,339200,340900,342400,343300,344100,345100,345900,346500,347100,347600,348400,349700,351500,353500,355600,357600,360100,362500,364600,366300,367800,369500,371500,373100,374600,376400,377900,378600,379100,380000,381100,381900,382700,384200,387000,390400,392800,394500,396200,397300,397700,397600,398300,400800,403500,405300,406700
36,"North Carolina",10,215000,216800,217900,218400,218400,218200,218300,218900,220400,223000,225900,228600,230900,232200,232700,232400,231100,229200,226500,223200,219500,216000,213000,210600,208800,207600,206700,206400,206700,207900,209600,211600,213600,215700,217500,219100,221200,223600,226400,229000,231200,232700,233600,233600,233100,232300,231000,229200,227700,227000,227500,229400,232300,235900,239700,243100,246400,249600,252500,254500,255600,255900,255600,255200,254800,254500,254600,255000,255700,257100,259300,261700,263700,265300,266400,267100,267800,268600,269500,271100,272700,273300,272900,272900,273500,274900,276700,278700,280600,282300,283900,285200,285900,286200,286200,286300,287000,288300,289900,291600,293300,295100,297100,299200,301200,303300,305200,307000,309000,311400,314400,317900,321900,325800,329700,333200,336800,340500,344200,348000,351800,355300,358400,361400,364300,367100,369700,371900,374000,376000,377400,378600,379900,381400,382900,384600,386100,387100,387500,387600,387700,388100,388300,388200,387900,387000,385400,383300,380700,378100,375700,373700,372400,371900,371700,371600,371300,370200,367900,365000,361900,359200,356700,354900,353500,351600,352100,353000,351500,349200,348100,346500,344800,342800,341000,339200,337100,335000,332400,329800,328400,327700,326900,326000,325300,324800,324700,324500,324500,325100,325300,325100,324800,324700,324600,324600,324600,324700,325400,326100,326600,326900,327500,328500,329800,331300,333000,335000,337200,339200,340800,342300,344000,345200,345600,346100,347400,349000,350300,351300,352200,353100,353600,354400,355600,357000,358200,359500,360600,362000,363300,364400,365100,365800,366500,367100,367800,368800,370100,372000,374400,376200,377500,379100,380800,381900,383000,384100,385000,386100,387800,389900,391500,392700,393400,394100,394800,395300,395700,396300,397400,399300,401800,403700,404900,405600,406300,407200,408400,410400,412900,415200,416900,418200
